lemma	iztočnica	besedna vrsta	številka pomena	indikator
kozica	kozica	samostalnik	1	močvirska ptica
bahavost	bahavost	samostalnik	1	razkazovanje; hvalisanje;
padalka	padalka	samostalnik	1	športnica
debelokožen	debelokožen	pridevnik	1	o tipu kože
ravs	ravs	samostalnik	1	prepir; pretep;
ravsanje	ravsanje	samostalnik	1	pretepanje; prepiranje;
zvončkljanje	zvončkljanje	samostalnik	1	o zvoku
kaloričen	kaloričen	pridevnik	1	o hrani
kaloričen	kaloričen	pridevnik	2	o kurivih
kosec	kosec	samostalnik	1	ptica
rajni	rajni	samostalnik	1	umrla oseba
malopriden	malopriden	pridevnik	1	ničvreden, pokvarjen
malopriden	malopriden	pridevnik	2	nezakonit
ženskost	ženskost	samostalnik	1	lastnosti žensk
ženskost	ženskost	samostalnik	2	žensko spolovilo
alienacija	alienacija	samostalnik	1	odtujenost
alienacija	alienacija	samostalnik	2	odmik
jedilo	jedilo	samostalnik	1	jed
falos	falos	samostalnik	1	moški spolni ud
falus	falus	samostalnik	1	moški spolni ud
zakonol	zakonolom	samostalnik	1	izvenzakonsko razmerje, prešuštvo
zakonolomec	zakonolomec	samostalnik	1	prešuštnik
zakonolomstvo	zakonolomstvo	samostalnik	1	izvenzakonsko razmerje, prešuštvo
jadikovati	jadikovati	glagol	1	tarnati
kompromis	kompromis	samostalnik	1	dogovor
kompromis	kompromis	samostalnik	2	srednja pot; rešitev;
kompromis	kompromis	samostalnik	3	o nižanju standardov
teta	teta	samostalnik	1	sorodnica
teta	teta	samostalnik	2	ženska; gospa;
farsa	farsa	samostalnik	1	absurdna situacija
farsa	farsa	samostalnik	2	dramsko delo
okupirati	okupirati	glagol	1	zavzeti z vojaško silo
okupirati	okupirati	glagol	2	množično zasesti
okupirati	okupirati	glagol	3	zahtevati veliko pozornosti
seksapil	seksapil	samostalnik	1	spolna privlačnost
banana	banana	samostalnik	1	plod
banana	banana	samostalnik	2	rastlina
banana	banana	samostalnik	3	blokada
banana	banana	samostalnik	4	plovilo v obliki banane
banana	banana	samostalnik	5	vrsta pričeske
dren	dren	samostalnik	1	grm
dren	dren	samostalnik	2	gneča
plastificiran	plastificiran	pridevnik	1	prevlečen s slojem plastike
plastificiran	plastificiran	pridevnik	2	pakiran v plastično embalažo
zamočiti	zamočiti	glagol	1	narediti napako
zamočiti	zamočiti	glagol	2	prepojiti z vodo
zabušant	zabušant	samostalnik	1	kdor se izmika delu, lenuh
zabušavanje	zabušavanje	samostalnik	1	izmikanje delu, lenarjenje
zabušavati	zabušavati	glagol	1	izogibati se delu, lenariti
mahnjen	mahnjen	pridevnik	1	o močni ljubezni, naklonjenosti
mahnjen	mahnjen	pridevnik	2	nor, čudaški
furman	furman	samostalnik	1	voznik konjske vprege
mikrovalovka	mikrovalovka	samostalnik	1	naprava za pripravo hrane
zašušmariti	zašušmariti	glagol	1	zamočiti, uničiti
zašuštrati	zašuštrati	glagol	1	slabo narediti, uničiti
randi	randi	samostalnik	1	zmenek
randi	randi	samostalnik	2	srečanje
