iztočnica|besedna vrsta|številka pomena|indikator
plašč|samostalnik|6|o zavetju
plašč|samostalnik|7|plast v notranjosti planeta
plašč|samostalnik|8|pri mehkužcih
invalidnost|samostalnik|1|zdravstveno stanje
invalidnost|samostalnik|2|o nesposobnosti
atlas|samostalnik|1|knjiga zemljevidov
atlas|samostalnik|2|zbirka iz neke stroke
atlas|samostalnik|3|blago
atlas|samostalnik|4|vretence
atlas|samostalnik|5|avto
atlas|samostalnik|6|o topološki ploskvi
atlas|samostalnik|7|metulj
atlas|samostalnik|8|v arhitekturi
tilnik|samostalnik|1|del vratu
stopalo|samostalnik|1|del noge
stopalo|samostalnik|2|del nogavice
stopalo|samostalnik|3|pedal
črevesje|samostalnik|1|organ
črevesje|samostalnik|2|notranjost
slina|samostalnik|1|telesna tekočina
oblačilo|samostalnik|1|izdelek iz blaga
oblačilo|samostalnik|2|zunanja podoba
rokav|samostalnik|1|del oblačila
rokav|samostalnik|2|stranska struga
evolucija|samostalnik|1|biološki proces
evolucija|samostalnik|2|postopen razvoj
musliman|samostalnik|1|pripadnik muslimanske vere
matematik|samostalnik|1|strokovnjak
matematik|samostalnik|2|kdor dobro računa
kanonik|samostalnik|1|škofov svetovalec
ambivalenten|pridevnik|1|razdvojen; nasprotujoč;
balin|samostalnik|1|najmanjša krogla pri balinanju
samozavest|samostalnik|1|prepričanost vase
dolar|samostalnik|1|valuta
direkcija|samostalnik|1|državna ustanova
direkcija|samostalnik|2|vodstvo podjetja ali dogodka
esej|samostalnik|1|literarno delo
esej|samostalnik|2|pisni izdelek v šolstvu
digitalen|pridevnik|1|o načinu zapisa podatkov
digitalen|pridevnik|2|ki ima zaslon s številkami
doktorat|samostalnik|1|stopnja izobrazbe
doktorat|samostalnik|2|podiplomski študij
doktorat|samostalnik|3|raziskovalno delo
rokenrol|samostalnik|1|vrsta glasbe
rokenrol|samostalnik|2|ples
gruzinščina|samostalnik|1|gruzinski jezik
fag|samostalnik|1|vrsta virusa
RNA|samostalnik|1|organska spojina
evharistija|samostalnik|1|zakrament
evharistija|samostalnik|2|posvečena hostija
fantje|samostalnik|1|športna kategorija
lepra|samostalnik|1|bolezen
dietileter|samostalnik|1|tekočina
zajedalec|samostalnik|1|rastlinski ali živalski organizem
zajedalec|samostalnik|2|izkoriščevalska oseba
carina|samostalnik|1|dajatev
carina|samostalnik|2|organizacija
carina|samostalnik|3|zgradba; območje;
drsalec|samostalnik|1|športnik
drsalec|samostalnik|2|kdor drsa
koncern|samostalnik|1|združba podjetij
encim|samostalnik|1|snov
olimpijada|samostalnik|1|olimpijske igre
olimpijada|samostalnik|2|tekmovanje v stari Grčiji
olimpijada|samostalnik|3|večje tekmovanje
olimpiada|samostalnik|1|olimpijske igre
olimpiada|samostalnik|2|tekmovanje v stari Grčiji
olimpiada|samostalnik|3|večje tekmovanje
akulturacija|samostalnik|1|prilagoditev kulturnemu okolju
podbradek|samostalnik|1|odebeljena koža pod brado
podbradek|samostalnik|2|del glave
podbradek|samostalnik|3|pri živalih
podbradek|samostalnik|4|sestavni del godal
ribištvo|samostalnik|1|športna in gospodarska dejavnost
odstaviti|glagol|1|umakniti s štedilnika
odstaviti|glagol|2|odstraniti s položaja
odstaviti|glagol|3|prenehati dojiti
asignacija|samostalnik|1|nakaznica
izgnanstvo|samostalnik|1|zaradi prisilnega izgona
izgnanstvo|samostalnik|2|zaradi situacije ali namena
izgnanstvo|samostalnik|3|izobčenje
pridevnik|samostalnik|1|besedna vrsta
figa|samostalnik|1|plod
figa|samostalnik|2|drevo ali grm
figa|samostalnik|3|vrsta pričeske
figa|samostalnik|4|iztrebek
abiturient|samostalnik|1|maturant
opazovališče|samostalnik|1|kraj za opazovanje
anarhist|samostalnik|1|privrženec anarhizma
trska|samostalnik|1|morska riba
zelenika|samostalnik|1|sladkovodna riba
kovač|samostalnik|1|morska riba
kozica|samostalnik|1|močvirska ptica
bahavost|samostalnik|1|razkazovanje; hvalisanje;
padalka|samostalnik|1|športnica
debelokožen|pridevnik|1|o tipu kože
ravs|samostalnik|1|prepir; pretep;
ravsanje|samostalnik|1|pretepanje; prepiranje;
zvončkljanje|samostalnik|1|o zvoku
kaloričen|pridevnik|1|o hrani
kaloričen|pridevnik|2|o kurivih
kosec|samostalnik|1|ptica
rajni|samostalnik|1|umrla oseba
malopriden|pridevnik|1|ničvreden, pokvarjen
malopriden|pridevnik|2|nezakonit
ženskost|samostalnik|1|lastnosti žensk
ženskost|samostalnik|2|žensko spolovilo
alienacija|samostalnik|1|odtujenost
alienacija|samostalnik|2|odmik
jedilo|samostalnik|1|jed
falos|samostalnik|1|moški spolni ud
falus|samostalnik|1|moški spolni ud
zakonolom|samostalnik|1|izvenzakonsko razmerje, prešuštvo
zakonolomec|samostalnik|1|prešuštnik
zakonolomstvo|samostalnik|1|izvenzakonsko razmerje, prešuštvo
jadikovati|glagol|1|tarnati
kompromis|samostalnik|1|dogovor
kompromis|samostalnik|2|srednja pot; rešitev;
kompromis|samostalnik|3|o nižanju standardov
teta|samostalnik|1|sorodnica
teta|samostalnik|2|ženska; gospa;
farsa|samostalnik|1|absurdna situacija
farsa|samostalnik|2|dramsko delo
okupirati|glagol|1|zavzeti z vojaško silo
okupirati|glagol|2|množično zasesti
okupirati|glagol|3|zahtevati veliko pozornosti
seksapil|samostalnik|1|spolna privlačnost
banana|samostalnik|1|plod
banana|samostalnik|2|rastlina
banana|samostalnik|3|blokada
banana|samostalnik|4|plovilo v obliki banane
banana|samostalnik|5|vrsta pričeske
dren|samostalnik|1|grm
dren|samostalnik|2|gneča
plastificiran|pridevnik|1|prevlečen s slojem plastike
plastificiran|pridevnik|2|pakiran v plastično embalažo
zamočiti|glagol|1|narediti napako
zamočiti|glagol|2|prepojiti z vodo
zabušant|samostalnik|1|kdor se izmika delu, lenuh
zabušavanje|samostalnik|1|izmikanje delu, lenarjenje
zabušavati|glagol|1|izogibati se delu, lenariti
mahnjen|pridevnik|1|o močni ljubezni, naklonjenosti
mahnjen|pridevnik|2|nor, čudaški
furman|samostalnik|1|voznik konjske vprege
mikrovalovka|samostalnik|1|naprava za pripravo hrane
zašušmariti|glagol|1|zamočiti, uničiti
zašuštrati|glagol|1|slabo narediti, uničiti
randi|samostalnik|1|zmenek
randi|samostalnik|2|srečanje
davkarija|samostalnik|1|davčna služba
mačica|samostalnik|1|rastlina
mačica|samostalnik|2|socvetje
mačica|samostalnik|3|mačka
mačica|samostalnik|4|mikavna ženska
srednjeprogašica|samostalnik|1|športnica
melona|samostalnik|1|plod
melona|samostalnik|2|rastlina
melona|samostalnik|3|ženske prsi
zdrahar|samostalnik|1|kdor povzroča nesoglasja, prepir
zaspati|glagol|1|preiti v stanje počitka
zaspati|glagol|2|ne zbuditi se dovolj zgodaj
zaspati|glagol|3|umreti
zaspati|glagol|4|popustiti v prizadevanjih
zaspati|glagol|5|o delu telesa
matiran|pridevnik|1|brez sijaja
matiran|pridevnik|2|o položaju kralja v igri
matiran|pridevnik|3|premagan
razbijač|samostalnik|1|kdor razbija ali uničuje; nasilnež;
razbijač|samostalnik|2|kdor slovi po moči
razbijač|samostalnik|3|betonska pregrada
kakec|samostalnik|1|iztrebek
šminka|samostalnik|1|rdečilo za ustnice
šminka|samostalnik|2|maska, ličila na obrazu
šminka|samostalnik|3|olepšavanje ali prikrivanje česa
kašča|samostalnik|1|za shranjevanje žita
kašča|samostalnik|2|za naturalne dajatve fevdalcem
mitnica|samostalnik|1|za plačilo mitnine
mitnica|samostalnik|2|za plačilo cestnine
splavar|samostalnik|1|v nekdanji transportni dejavnosti
splavar|samostalnik|2|kdor vozi splav
špecerija|samostalnik|1|živila
špecerija|samostalnik|2|trgovina z živili
slonji|pridevnik|1|o slonu ali slonih
slonji|pridevnik|2|o delu slona
slonji|pridevnik|3|velik
slonji|pridevnik|4|v kulinariki
ficek|samostalnik|1|denar
falot|samostalnik|1|porednež, baraba
kraval|samostalnik|1|hrup; razburjanje;
gosli|samostalnik|1|violina
šport|samostalnik|1|telesna dejavnost
šport|samostalnik|2|o razvedrilni dejavnosti
